"SYMBOL 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","NO. OF SECURITY (POST) 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","MODE OF ACQUISITION 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
",is_insider
WIPRO,Rishabh Khemka,Employees/Designated Employees,ADR/GDR/FCCB,0.0,659.0,272990,Sell,1264,2023-12-06,ESOP,0,1
WIPRO,Srinivasan Rajamani,Employees/Designated Employees,ADR/GDR/FCCB,0.0,21750.0,9009927,Buy,68032,2023-12-06,ESOP,0,1
WIPRO,Srinivas Pallia,Employees/Designated Employees,ADR/GDR/FCCB,0.0,44958.0,18623829,Sell,Nil,2023-12-06,ESOP,0,1
WIPRO,Srinivas Pallia,Employees/Designated Employees,ADR/GDR/FCCB,0.0,44958.0,18623829,Buy,44958,2023-12-06,ESOP,0,1
WIPRO,Srikant Godavarti,Employees/Designated Employees,ADR/GDR/FCCB,0.0,723.0,299502,Sell,13185,2023-12-06,ESOP,0,1
WIPRO,Srikant Godavarti,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2698.0,1117645,Buy,13908,2023-12-06,ESOP,0,1
WIPRO,Somanath Ballari Sangappa,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1226.0,507870,Sell,2619,2023-12-06,ESOP,0,1
WIPRO,Somanath Ballari Sangappa,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3845.0,1592789,Buy,3845,2023-12-06,ESOP,0,1
WIPRO,Rishabh Khemka,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1923.0,796602,Buy,1923,2023-12-06,ESOP,0,1
WIPRO,Rajasekhar Ramadas,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3431.0,1421290,Sell,10634,2023-12-06,ESOP,0,1
WIPRO,Rajasekhar Ramadas,Employees/Designated Employees,ADR/GDR/FCCB,0.0,9479.0,3926671,Buy,14065,2023-12-06,ESOP,0,1
WIPRO,Philippe Dintrans,Employees/Designated Employees,ADR/GDR/FCCB,0.0,9659.0,4001236,Sell,13407,2023-12-06,ESOP,0,1
WIPRO,Philippe Dintrans,Employees/Designated Employees,ADR/GDR/FCCB,0.0,23066.0,9555079,Buy,23066,2023-12-06,ESOP,0,1
WIPRO,Michael Neff,Employees/Designated Employees,ADR/GDR/FCCB,0.0,698.0,289146,Sell,1545,2023-12-06,ESOP,0,1
WIPRO,Michael Neff,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2243.0,929162,Buy,2243,2023-12-06,ESOP,0,1
WIPRO,Satyaki Banerjee,Employees/Designated Employees,ADR/GDR/FCCB,0.0,5411.0,2241504,Buy,11389,2023-12-06,ESOP,0,1
WIPRO,Manish Arvind Kale,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2065.0,855425,Buy,2786,2023-12-06,ESOP,0,1
WIPRO,Manish Arvind Kale,Employees/Designated Employees,ADR/GDR/FCCB,0.0,772.0,319801,Sell,2014,2023-12-06,ESOP,0,1
WIPRO,Nitin Sood,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3339.0,1383179,Buy,5850,2023-12-06,ESOP,0,1
WIPRO,Nitin Sood,Employees/Designated Employees,ADR/GDR/FCCB,0.0,894.0,370339,Sell,4956,2023-12-06,ESOP,0,1
WIPRO,Nagaraj Shankar Bhogshetty,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1923.0,796602,Buy,1923,2023-12-06,ESOP,0,1
WIPRO,Nagaraj Shankar Bhogshetty,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1923.0,796602,Sell,Nil,2023-12-06,ESOP,0,1
WIPRO,Nagendra Bandaru,Employees/Designated Employees,ADR/GDR/FCCB,0.0,23685.0,9811499,Sell,82952,2023-12-06,ESOP,0,1
WIPRO,Malay Joshi,Employees/Designated Employees,ADR/GDR/FCCB,0.0,12102.0,5013247,Sell,59014,2023-12-06,ESOP,0,1
WIPRO,Nagendra Bandaru,Employees/Designated Employees,ADR/GDR/FCCB,0.0,58847.0,24377340,Buy,106637,2023-12-06,ESOP,0,1
WIPRO,Narayan Surajnarayan,Employees/Designated Employees,ADR/GDR/FCCB,0.0,8946.0,3705876,Buy,8946,2023-12-06,ESOP,0,1
WIPRO,Narayan Surajnarayan,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3331.0,1379865,Sell,5615,2023-12-06,ESOP,0,1
WIPRO,Nitin S Narkhede,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2663.0,1103146,Buy,50279,2023-12-06,ESOP,0,1
WIPRO,Nitin S Narkhede,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1005.0,416321,Sell,49274,2023-12-06,ESOP,0,1
WIPRO,Laura Langdon,Employees/Designated Employees,ADR/GDR/FCCB,0.0,11788.0,4883173,Buy,39981,2023-12-06,ESOP,0,1
WIPRO,Malay Joshi,Employees/Designated Employees,ADR/GDR/FCCB,0.0,27528.0,11403460,Buy,71116,2023-12-06,ESOP,0,1
WIPRO,Mahesh G,Employees/Designated Employees,ADR/GDR/FCCB,0.0,19636.0,8134203,Buy,19636,2023-12-06,ESOP,0,1
WIPRO,Laura Langdon,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3890.0,1611431,Sell,36091,2023-12-06,ESOP,0,1
WIPRO,Mahesh G,Employees/Designated Employees,ADR/GDR/FCCB,0.0,19636.0,8134203,Sell,Nil,2023-12-06,ESOP,0,1
WIPRO,Mahesh  Chandra,Employees/Designated Employees,ADR/GDR/FCCB,0.0,6317.0,2616814,Sell,40530,2023-12-06,ESOP,0,1
WIPRO,Mahesh  Chandra,Employees/Designated Employees,ADR/GDR/FCCB,0.0,16144.0,6687644,Buy,46847,2023-12-06,ESOP,0,1
WIPRO,Karan Singh,Employees/Designated Employees,ADR/GDR/FCCB,0.0,6764.0,2801984,Buy,20582,2023-12-06,ESOP,0,1
WIPRO,Kapil Gupta,Employees/Designated Employees,ADR/GDR/FCCB,0.0,600.0,248550,Sell,1643,2023-12-06,ESOP,0,1
WIPRO,Hariprasad Shetty G,Employees/Designated Employees,ADR/GDR/FCCB,0.0,25543.0,10581175,Buy,25543,2023-12-06,ESOP,0,1
WIPRO,Hariprasad Shetty G,Employees/Designated Employees,ADR/GDR/FCCB,0.0,11330.0,4693447,Sell,14213,2023-12-06,ESOP,0,1
WIPRO,Karan Singh,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2345.0,971415,Sell,18237,2023-12-06,ESOP,0,1
WIPRO,Harmeet Chauhan,Employees/Designated Employees,ADR/GDR/FCCB,0.0,12350.0,5115981,Sell,14410,2023-12-06,ESOP,0,1
WIPRO,Jennifer Walker,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1602.0,663628,Buy,1602,2023-12-06,ESOP,0,1
WIPRO,Jennifer Walker,Employees/Designated Employees,ADR/GDR/FCCB,0.0,605.0,250621,Sell,997,2023-12-06,ESOP,0,1
WIPRO,Kapil Gupta,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2243.0,929162,Buy,2243,2023-12-06,ESOP,0,1
WIPRO,Harmeet Chauhan,Employees/Designated Employees,ADR/GDR/FCCB,0.0,26760.0,11085317,Buy,26760,2023-12-06,ESOP,0,1
WIPRO,Ateet Jayaswal,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3845.0,1592789,Buy,3845,2023-12-06,ESOP,0,1
WIPRO,Ateet Jayaswal,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1320.0,546809,Sell,2525,2023-12-06,ESOP,0,1
WIPRO,Atul Kapur,Employees/Designated Employees,ADR/GDR/FCCB,0.0,5019.0,2079118,Buy,7722,2023-12-06,ESOP,0,1
WIPRO,Atul Kapur,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1749.0,724522,Sell,5973,2023-12-06,ESOP,0,1
WIPRO,Brian Corona,Employees/Designated Employees,ADR/GDR/FCCB,0.0,4806.0,1990883,Buy,17533,2023-12-06,ESOP,0,1
WIPRO,Brian Corona,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1870.0,774647,Sell,15663,2023-12-06,ESOP,0,1
WIPRO,Brian Leong,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2414.0,999998,Buy,3240,2023-12-06,ESOP,0,1
WIPRO,Eddie Woods,Employees/Designated Employees,ADR/GDR/FCCB,0.0,10786.0,4468095,Sell,Nil,2023-12-06,ESOP,0,1
WIPRO,Eddie Woods,Employees/Designated Employees,ADR/GDR/FCCB,0.0,10786.0,4468095,Buy,10786,2023-12-06,ESOP,0,1
WIPRO,Brian Leong,Employees/Designated Employees,ADR/GDR/FCCB,0.0,911.0,377381,Sell,2329,2023-12-06,ESOP,0,1
WIPRO,Ashley Steele,Employees/Designated Employees,ADR/GDR/FCCB,0.0,403.0,166943,Sell,1734,2023-12-06,ESOP,0,1
WIPRO,Ashley Steele,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1360.0,563379,Buy,2137,2023-12-06,ESOP,0,1
WIPRO,Anuj Kumar Kumar,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3683.0,1525681,Sell,46354,2023-12-06,ESOP,0,1
WIPRO,Anuj Kumar Kumar,Employees/Designated Employees,ADR/GDR/FCCB,0.0,11788.0,4883173,Buy,50037,2023-12-06,ESOP,0,1
WIPRO,Tish Atchison,Employees/Designated Employees,ADR/GDR/FCCB,0.0,572.0,236951,Sell,1602,2023-12-06,ESOP,0,1
WIPRO,Anubhav Mishra,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3809.0,1577876,Buy,8225,2023-12-06,ESOP,0,1
WIPRO,Anil Raibagi Madhav,Employees/Designated Employees,ADR/GDR/FCCB,0.0,18982.0,7863284,Sell,Nil,2023-12-06,ESOP,0,1
WIPRO,Anil Raibagi Madhav,Employees/Designated Employees,ADR/GDR/FCCB,0.0,18982.0,7863284,Buy,18982,2023-12-06,ESOP,0,1
WIPRO,Tish Atchison,Employees/Designated Employees,ADR/GDR/FCCB,0.0,2174.0,900578,Buy,2174,2023-12-06,ESOP,0,1
WIPRO,Anubhav Mishra,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1221.0,505799,Sell,7004,2023-12-06,ESOP,0,1
WIPRO,Vinay Firake,Employees/Designated Employees,ADR/GDR/FCCB,0.0,30000.0,11829722,Sell,196853,2023-11-30,Market Sale,0,1
WIPRO,Ritesh Tyagi,Employees/Designated Employees,ADR/GDR/FCCB,0.0,33350.0,13067831,Sell,28891,2023-11-24,ESOP,0,1
WIPRO,Ritesh Tyagi,Employees/Designated Employees,ADR/GDR/FCCB,0.0,62241.0,24388451,Buy,62241,2023-11-24,ESOP,0,1
WIPRO,Warren Zambelli,Employees/Designated Employees,ADR/GDR/FCCB,0.0,7200.0,2821241,Sell,8360,2023-11-24,ESOP,0,1
WIPRO,Warren Zambelli,Employees/Designated Employees,ADR/GDR/FCCB,0.0,15560.0,6097015,Buy,15560,2023-11-24,ESOP,0,1
WIPRO,Laura Langdon,Employees/Designated Employees,ADR/GDR/FCCB,0.0,5500.0,2172413,Sell,28193,2023-11-22,Market Sale,0,1
WIPRO,Saibal Basu,-,Equity Shares,0.0,7894.0,3162731,Buy,22558,2023-11-21,ESOP,0,1
WIPRO,Venu Pemmaraju,Employees/Designated Employees,ADR/GDR/FCCB,0.0,3815.0,1431604,Sell,Nil,2023-11-13,Market Sale,0,1
WIPRO,Stephanie Trautman,Employees/Designated Employees,ADR/GDR/FCCB,0.0,60264.0,22735100,Sell,Nil,2023-11-09,Market Sale,0,1
WIPRO,Chris Smith,Employees/Designated Employees,ADR/GDR/FCCB,0.0,28705.0,10781391,Buy,28705,2023-11-09,ESOP,0,1
WIPRO,Vinay Firake,Employees/Designated Employees,ADR/GDR/FCCB,0.0,1400.0,525830,Sell,226853,2023-11-09,ESOP,0,1
WIPRO,Chris Smith,Employees/Designated Employees,ADR/GDR/FCCB,0.0,28705.0,10781391,Sell,Nil,2023-11-09,ESOP,0,1
WIPRO,Vinay Firake,Employees/Designated Employees,ADR/GDR/FCCB,0.0,49677.0,18658324,Buy,228253,2023-11-09,ESOP,0,1
WIPRO,Sidharth Mishra,Employees/Designated Employees,ADR/GDR/FCCB,0.0,9744.0,3748589,Buy,19492,2023-11-03,ESOP,0,1
WIPRO,Dhruv Anand,Employees/Designated Employees,ADR/GDR/FCCB,0.0,15121.0,5817161,Buy,15121,2023-11-03,ESOP,0,1
WIPRO,Dhruv Anand,Employees/Designated Employees,ADR/GDR/FCCB,0.0,15121.0,5817161,Sell,Nil,2023-11-03,ESOP,0,1
WIPRO,Amit Choudhary,Employees/Designated Employees,ADR/GDR/FCCB,0.0,112613.0,43323054,Buy,112613,2023-11-03,ESOP,0,1
WIPRO,Sidharth Mishra,Employees/Designated Employees,ADR/GDR/FCCB,0.0,4925.0,1894684,Sell,14567,2023-11-03,ESOP,0,1
WIPRO,Susan Secrest,Employees/Designated Employees,ADR/GDR/FCCB,0.0,12238.0,4619857,Sell,14980,2023-10-25,ESOP,0,1
WIPRO,Brian Corona,Employees/Designated Employees,ADR/GDR/FCCB,0.0,11248.0,4246131,Buy,17587,2023-10-25,ESOP,0,1
WIPRO,Brian Corona,Employees/Designated Employees,ADR/GDR/FCCB,0.0,4820.0,1819555,Sell,12767,2023-10-25,ESOP,0,1
WIPRO,Susan Secrest,Employees/Designated Employees,ADR/GDR/FCCB,0.0,27218.0,10274822,Buy,27218,2023-10-25,ESOP,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,2445.0,2445,Sell,9908527,2023-12-29,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,2437.0,2437,Sell,9910972,2023-12-29,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust- ESOP Plan 2016 A/c,Other,Equity Shares,0.41,8644.0,7597434,Sell,9913409,2023-12-29,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust- ESOP Plan 2016 A/c,Other,Equity Shares,0.41,18636.0,16197706,Sell,9964145,2023-12-27,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,61.0,53005,Sell,9964084,2023-12-27,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,146.0,126865,Sell,9963938,2023-12-27,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust- ESOP Plan 2016 A/c,Other,Equity Shares,0.41,41885.0,36760318,Sell,9922053,2023-12-28,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,484.0,411873,Sell,10006384,2023-12-26,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,26.0,22128,Sell,10006868,2023-12-26,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.41,20123.0,17097142,Sell,10006894,2023-12-26,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,5009.0,5009,Sell,10027017,2023-12-22,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,12894.0,12894,Sell,10032026,2023-12-22,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.41,19803.0,3621734,Sell,9986581,2023-12-26,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,3800.0,3800,Sell,9982781,2023-12-26,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.41,5332.0,4487533,Sell,10047980,2023-12-21,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.41,177.0,149382,Sell,10047803,2023-12-21,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.41,2822.0,2822,Sell,10044981,2023-12-21,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,61.0,52032,Sell,10044920,2023-12-22,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,561.0,472079,Sell,10053329,2023-12-20,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,17.0,14302,Sell,10053312,2023-12-20,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.41,2025.0,1750235,Sell,10087267,2023-12-15,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,1185.0,1016768,Sell,10057770,2023-12-19,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,4591.0,4591,Sell,10082443,2023-12-15,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,13104.0,13104,Sell,10069339,2023-12-15,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,2.0,1709,Sell,10069337,2023-12-18,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.41,9400.0,8064742,Sell,10059937,2023-12-19,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,982.0,842711,Sell,10058955,2023-12-19,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.41,3880.0,3262984,Sell,10053890,2023-12-20,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,233.0,201392,Sell,10087034,2023-12-15,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,6144.0,6144,Sell,10090572,2023-12-13,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,54.0,45661,Sell,10096716,2023-12-13,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,659.0,558236,Sell,10096770,2023-12-13,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,14775.0,14775,Sell,10097429,2023-12-12,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.42,51571.0,7272930,Sell,10112204,2023-12-12,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.41,328.0,278058,Sell,10089292,2023-12-14,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.42,1375.0,1168983,Sell,10164475,2023-12-12,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c,Other,Equity Shares,0.42,970.0,824637,Sell,10165850,2023-12-12,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.42,700.0,594536,Sell,10163775,2023-12-12,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,952.0,806807,Sell,10089620,2023-12-14,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.42,299.0,247420,Sell,10183599,2023-12-06,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP  Plan 2021 A/c,Other,Equity Shares,0.42,911.0,753531,Sell,10183898,2023-12-06,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  ESOP  Plan 2016 A/c,Other,Equity Shares,0.42,5569.0,4571811,Sell,10178030,2023-12-07,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.42,434.0,362381,Sell,10175912,2023-12-08,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  ESOP  Plan 2016 A/c,Other,Equity Shares,0.42,4101.0,3453139,Sell,10171811,2023-12-11,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.42,4991.0,4991,Sell,10166820,2023-12-11,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP  Plan 2021 A/c,Other,Equity Shares,0.42,476.0,390366,Sell,10176346,2023-12-07,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP  Plan 2021 A/c,Other,Equity Shares,0.42,1208.0,990615,Sell,10176822,2023-12-07,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  ESOP  Plan 2016 A/c,Other,Equity Shares,0.42,2104.0,1723174,Sell,10185710,2023-12-05,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.42,190.0,155610,Sell,10184809,2023-12-05,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP  Plan 2021 A/c,Other,Equity Shares,0.42,711.0,582308,Sell,10184999,2023-12-05,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  ESOP  Plan 2016 A/c,Other,Equity Shares,0.42,8743.0,7161549,Sell,10189051,2023-12-04,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.42,1141.0,934516,Sell,10187814,2023-12-04,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP  Plan 2021 A/c,Other,Equity Shares,0.42,96.0,78483,Sell,10188955,2023-12-04,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP  Plan 2021 A/c,Other,Equity Shares,0.42,2722.0,2722,Sell,10197794,2023-11-30,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,0.42,110.0,88700,Sell,10200516,2023-11-30,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.42,17637.0,17637,Sell,10200873,2023-11-28,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.42,4634.0,4634,Sell,10218510,2023-11-28,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.42,247.0,195170,Sell,10200626,2023-11-29,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.42,1026.0,802495,Sell,10223758,2023-11-28,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.42,614.0,480167,Sell,10223144,2023-11-28,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.42,118.0,92223,Sell,10224784,2023-11-24,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,236454.0,185156721,Buy,10224902,2023-11-24,Market Purchase,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.41,8420.0,8420,Sell,9988448,2023-11-23,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.41,208.0,161148,Sell,9996868,2023-11-23,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.41,217.0,168121,Sell,9997076,2023-11-23,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.4,160000.0,123865419,Buy,9997293,2023-11-23,Market Purchase,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.4,60.0,46143,Sell,9837956,2023-11-22,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.4,663.0,509847,Sell,9837293,2023-11-22,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  ESOP Plan 2016 A/c,Other,Equity Shares,0.4,20000.0,15355925,Sell,9866688,2023-11-17,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.4,50.0,38664,Sell,9838016,2023-11-21,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.4,831.0,640937,Sell,9887377,2023-11-16,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ? JSWSL OPJ Samruddhi Plan 2021 A/c,Other,Equity Shares,0.4,1008.0,765898,Sell,9865474,2023-11-20,Market Sale,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,0.4,8449.0,8449,Sell,9857025,2023-11-20,Off Market,0,1
JSWSTEEL,JSW Steel Employees Welfare Trust ?  ESOP Plan 2016 A/c,Other,Equity Shares,0.4,10340.0,7995714,Sell,9838066,2023-11-21,Market Sale,0,1
